id,brier,rps,auc,n,lat,lon,pietra,brier_week1,brier_week2,brier_week3,brier_week4,brier_later,auc_week1,auc_week2,auc_week3,auc_week4,auc_later,model,cv_method
Galan Gudo,0.9872564159907241,0.984199559635322,0.6327160493827161,9,,,,,,,,,,,,,,blended_model,global
Garba Guracha,0.19691274534432957,0.10058797885526667,0.9955621301775148,13,,,,,,,,,,,,,,blended_model,global
Gasera,0.5699737159444487,0.5643777416644352,0.8955078125,16,,,,,,,,,,,,,,blended_model,global
Gashena town,0.6122185864489782,0.6463257977854726,0.844671201814059,21,,,,,,,,,,,,,,blended_model,global
Gaz Gibla,0.40654043829464737,0.29608209588575163,0.9349030470914127,19,,,,,,,,,,,,,,blended_model,global
Gazo,0.35053856246468973,0.2509226701363273,0.9467592592592593,18,,,,,,,,,,,,,,blended_model,global
Gedeb Asasa,0.5366332049530361,0.5482276183935357,0.8727810650887574,13,,,,,,,,,,,,,,blended_model,global
Gefersa Guje,0.8170121317524102,0.7508656279066614,0.7191358024691358,9,,,,,,,,,,,,,,blended_model,global
Gerar Jarso,0.2758402905988123,0.1951368866519259,0.9896449704142012,13,,,,,,,,,,,,,,blended_model,global
Gidan,0.3133380317142294,0.19496542386553636,0.9570637119113573,19,,,,,,,,,,,,,,blended_model,global
Gimbichu,0.30555352791818574,0.21165988258366047,0.9808673469387755,14,,,,,,,,,,,,,,blended_model,global
Gimeba town,0.6688155739004715,0.6352584151631675,0.7946428571428571,14,,,,,,,,,,,,,,blended_model,global
Ginde Beret,0.8495819452340712,0.7337985069556511,0.5277777777777778,6,,,,,,,,,,,,,,blended_model,global
Ginir,0.006853043498908502,0.007494420873576225,1.0,23,,,,,,,,,,,,,,blended_model,global
Gishe Rabel,0.6996222079662521,0.7148200521261112,0.7857142857142857,14,,,,,,,,,,,,,,blended_model,global
Goba (OR),0.2837417392727508,0.46984311048243066,0.998109640831758,23,,,,,,,,,,,,,,blended_model,global
Goba Koricha,0.5165913415672101,0.40291285509831726,0.8666666666666667,15,,,,,,,,,,,,,,blended_model,global
Goba town,0.34687788299863337,0.35319896942611323,0.9349173553719008,22,,,,,,,,,,,,,,blended_model,global
Golocha,0.3490952190595061,0.22487526272391917,0.9580078125,16,,,,,,,,,,,,,,blended_model,global
Gololcha Bale,0.03276263669958802,0.037410721215463835,1.0,23,,,,,,,,,,,,,,blended_model,global
Goncha Siso Enebse,0.2609849965425492,0.15653463220014843,0.992603550295858,13,,,,,,,,,,,,,,blended_model,global
Gondar town,0.7879821983595158,0.6394656734245829,0.7006172839506173,9,,,,,,,,,,,,,,blended_model,global
Gonder Zuria,0.7808326513390791,0.6527319497303963,0.7006172839506173,9,,,,,,,,,,,,,,blended_model,global
Goro (Bale),0.03074852539557671,0.036325905457113006,1.0,23,,,,,,,,,,,,,,blended_model,global
Goro (SW Shewa),0.7022336123670442,0.5401164437705358,0.7430555555555556,12,,,,,,,,,,,,,,blended_model,global
Guba Lafto,0.4061132639698333,0.2838855157068046,0.9240362811791383,21,,,,,,,,,,,,,,blended_model,global
Gumbi Bordede,0.5315153634953397,0.42516140974537653,0.8611111111111112,15,,,,,,,,,,,,,,blended_model,global
Guna,0.37170761844421146,0.24467285267654335,0.9306640625,16,,,,,,,,,,,,,,blended_model,global
Guna Begemider,0.37244602663652127,0.29365991661487956,0.9585798816568047,13,,,,,,,,,,,,,,blended_model,global
Gundwoin town,0.23747416184161255,0.13490149691880182,0.9955621301775148,13,,,,,,,,,,,,,,blended_model,global
Guzamn,0.5937801127962226,0.4304646739948594,0.8625,10,,,,,,,,,,,,,,blended_model,global
Habro,0.4555816592052654,0.31287343041101523,0.91,15,,,,,,,,,,,,,,blended_model,global
Habru,0.6337514120283517,0.6361245415138465,0.8392857142857143,14,,,,,,,,,,,,,,blended_model,global
Hagere Mariam,0.372885727788231,0.2980472668166059,0.9375,12,,,,,,,,,,,,,,blended_model,global
Hamusit town,0.3493336122535854,0.2410265567290164,0.9718934911242604,13,,,,,,,,,,,,,,blended_model,global
Hara town,0.3310029578104455,0.20990149242526332,0.9546485260770975,21,,,,,,,,,,,,,,blended_model,global
Harbu town,0.5886671872006634,0.4485086606155332,0.8533333333333334,15,,,,,,,,,,,,,,blended_model,global
Hawi Gudina,0.06885038189149084,0.083867929598994,1.0,23,,,,,,,,,,,,,,blended_model,global
Heban Arsi,0.9812515650502548,1.0168117402836367,0.6604938271604939,9,,,,,,,,,,,,,,blended_model,global
Hidabu Abote,1.110485912816867,1.120327903847659,0.6234567901234568,9,,,,,,,,,,,,,,blended_model,global
Hike town,0.5303226444819489,0.42229744951209097,0.8766666666666667,15,,,,,,,,,,,,,,blended_model,global
Hitosa,0.5244067172830079,0.4107845704154477,0.8622222222222222,15,,,,,,,,,,,,,,blended_model,global
Holeta town,0.30536812663968027,0.17703450667427012,0.977810650887574,13,,,,,,,,,,,,,,blended_model,global
Hulet Ej Enese,0.3516476408542855,0.25579461316158303,0.9985207100591716,13,,,,,,,,,,,,,,blended_model,global
Ifata,0.6429670939359549,0.32771720636282065,0.8475,10,,,,,,,,,,,,,,blended_model,global
Illu Galan,0.6321501574740299,0.33558480705217253,0.9097222222222222,6,,,,,,,,,,,,,,blended_model,global
Ilu,0.31303816497116727,0.17564742123786137,0.984375,12,,,,,,,,,,,,,,blended_model,global
Inkolo Wabe,0.3936645191984163,0.26051574423096646,0.94921875,16,,,,,,,,,,,,,,blended_model,global
Jabi Tehnan,0.7628900725921202,0.5420284503224917,0.75,10,,,,,,,,,,,,,,blended_model,global
Jama,0.6458597145407873,0.6402488078130756,0.8402366863905325,13,,,,,,,,,,,,,,blended_model,global
Janamora,0.3990072586844261,0.31642914123420496,0.9452662721893491,13,,,,,,,,,,,,,,blended_model,global
Jeju,0.36719322606524685,0.2388271417488681,0.9287109375,16,,,,,,,,,,,,,,blended_model,global
Jeldu,0.5570232475108443,0.4310454304887735,0.8518518518518519,9,,,,,,,,,,,,,,blended_model,global
Jibat,0.6071490461027879,0.3350754470685116,0.9305555555555556,6,,,,,,,,,,,,,,blended_model,global
Jida,0.2434572120459858,0.1544864886127069,0.992603550295858,13,,,,,,,,,,,,,,blended_model,global
Jiga town,0.56005262440929,0.3967630780952871,0.8487654320987654,9,,,,,,,,,,,,,,blended_model,global
Kalu,0.5675307280958087,0.44934883593590874,0.8511111111111112,15,,,,,,,,,,,,,,blended_model,global
Kelala town,0.6838634868304022,0.6849607088731181,0.8313609467455622,13,,,,,,,,,,,,,,blended_model,global
Kelela,0.6312950034181909,0.6049354655378864,0.8505917159763313,13,,,,,,,,,,,,,,blended_model,global
Kersana Malima,0.289602420853577,0.18199761851781326,0.9896449704142012,13,,,,,,,,,,,,,,blended_model,global
Kewet,0.6682361106428929,0.7166496273838387,0.8032544378698225,13,,,,,,,,,,,,,,blended_model,global
Kimbibit,0.2908884905042659,0.20261902894632397,0.9704861111111112,12,,,,,,,,,,,,,,blended_model,global
Kinfaz Begela,0.5256917454875427,0.48581284643531003,0.841715976331361,13,,,,,,,,,,,,,,blended_model,global
Kobo town,0.2623532651464993,0.1711005856815749,0.9736842105263158,19,,,,,,,,,,,,,,blended_model,global
Kofele,0.9804339998062126,1.0309553343020212,0.6234567901234568,9,,,,,,,,,,,,,,blended_model,global
Kofele town,0.3848494792154801,0.6265074130745895,0.9844045368620038,23,,,,,,,,,,,,,,blended_model,global
Kokosa,0.8730917582049572,0.8385409538904633,0.6574074074074074,9,,,,,,,,,,,,,,blended_model,global
Kolla Debba town,0.7219947052747947,0.576660773060254,0.7345679012345679,9,,,,,,,,,,,,,,blended_model,global
Kombolcha town,0.4984822881241821,0.366666541923468,0.8822222222222222,15,,,,,,,,,,,,,,blended_model,global
Kore,0.8599286764479611,0.8684384050165688,0.6728395061728395,9,,,,,,,,,,,,,,blended_model,global
Koye,1.0813078956230617,1.0921148834761774,0.6172839506172839,9,,,,,,,,,,,,,,blended_model,global
